id,number,question,value,answered_at,survey,dimension,culture,engagement,employee,age_group,home_time,gender,team,is_leader,company,company_id,campaign_id,question_id,starts_at,is_enps,role
95e1c120-54a8-403d-a913-e3c40d3707a5,5,"Em minha atual função, percebo que atinjo meus objetivos e obtenho resultados significativos.",2,2022-03-22 14:05:18,engagement,my work,,impact,95dfed2b-574e-4fe0-8b07-8d119be195f9,,,Masculino,Winx,true,Winx,95dfed2b-32aa-46f1-935a-5c6356327bd6,95dfed2b-5d1d-49dd-b407-fbc1dd877a63,95dfed2a-afe2-4fc9-b6b4-7c6c9aacfa0a,2022-03-21 19:11:32,false,Tech Lead
95e1c120-5562-4937-a3ac-ae04e0216e5d,16,A visão e objetivos da minha organização são pessoalmente importantes para mim.,1,2022-03-22 14:05:24,engagement,my organization,,meaning,95dfed2b-574e-4fe0-8b07-8d119be195f9,,,Masculino,Winx,true,Winx,95dfed2b-32aa-46f1-935a-5c6356327bd6,95dfed2b-5d1d-49dd-b407-fbc1dd877a63,95dfed2a-ba6b-4b1c-83db-3ec57b58c45b,2022-03-21 19:11:32,false,Tech Lead
95e1c120-562e-4674-9550-bbda352aea93,13,"Percebo que nossa organização tem um impacto positivo e valioso nas pessoas, em seu setor e na sociedade de modo geral.",1,2022-03-22 14:05:29,engagement,my organization,,meaning,95dfed2b-574e-4fe0-8b07-8d119be195f9,,,Masculino,Winx,true,Winx,95dfed2b-32aa-46f1-935a-5c6356327bd6,95dfed2b-5d1d-49dd-b407-fbc1dd877a63,95dfed2a-b796-492b-a410-d587bd4d1cb6,2022-03-21 19:11:32,false,Tech Lead
95e1c120-56e0-47e6-b1f9-4e69805d0b5e,15,Trabalhamos com efetividade com as demais áreas da nossa organização.,1,2022-03-22 14:05:34,engagement,my organization,,impact,95dfed2b-574e-4fe0-8b07-8d119be195f9,,,Masculino,Winx,true,Winx,95dfed2b-32aa-46f1-935a-5c6356327bd6,95dfed2b-5d1d-49dd-b407-fbc1dd877a63,95dfed2a-b988-42cd-9567-1fcd1212d7bf,2022-03-21 19:11:32,false,Tech Lead
95e1c120-588c-4c37-8ed7-69a31b72246d,1,Meu líder estimula um ambiente seguro onde todos falam o que pensam sem medo.,1,2022-03-22 14:05:46,engagement,my manager,,psychological safety,95dfed2b-574e-4fe0-8b07-8d119be195f9,,,Masculino,Winx,true,Winx,95dfed2b-32aa-46f1-935a-5c6356327bd6,95dfed2b-5d1d-49dd-b407-fbc1dd877a63,95dfed2a-abae-401f-869b-f0d4565c0464,2022-03-21 19:11:32,false,Tech Lead
95e1c120-2a38-417a-ac63-58b48fc8f71b,2,Meu líder deixa claro o que espera do meu trabalho.,0,2022-03-22 14:07:39,engagement,my manager,,satisfaction,95dfed2b-5265-4396-9054-dc869c9ed79a,,,Feminino,Winx,true,Winx,95dfed2b-32aa-46f1-935a-5c6356327bd6,95dfed2b-5d1d-49dd-b407-fbc1dd877a63,95dfed2a-acf0-48b1-9b2c-5cf287f4153f,2022-03-21 19:11:32,false,Sócia
95e1c120-2c18-4d3e-987e-4dd081892b2c,5,"Em minha atual função, percebo que atinjo meus objetivos e obtenho resultados significativos.",1,2022-03-22 14:07:47,engagement,my work,,impact,95dfed2b-5265-4396-9054-dc869c9ed79a,,,Feminino,Winx,true,Winx,95dfed2b-32aa-46f1-935a-5c6356327bd6,95dfed2b-5d1d-49dd-b407-fbc1dd877a63,95dfed2a-afe2-4fc9-b6b4-7c6c9aacfa0a,2022-03-21 19:11:32,false,Sócia
95e1c120-2cee-425d-bee0-74bf2cd5aa0b,16,A visão e objetivos da minha organização são pessoalmente importantes para mim.,1,2022-03-22 14:07:54,engagement,my organization,,meaning,95dfed2b-5265-4396-9054-dc869c9ed79a,,,Feminino,Winx,true,Winx,95dfed2b-32aa-46f1-935a-5c6356327bd6,95dfed2b-5d1d-49dd-b407-fbc1dd877a63,95dfed2a-ba6b-4b1c-83db-3ec57b58c45b,2022-03-21 19:11:32,false,Sócia
95e1c120-2de1-49b4-a20c-f266ac0e858d,13,"Percebo que nossa organização tem um impacto positivo e valioso nas pessoas, em seu setor e na sociedade de modo geral.",1,2022-03-22 14:08:01,engagement,my organization,,meaning,95dfed2b-5265-4396-9054-dc869c9ed79a,,,Feminino,Winx,true,Winx,95dfed2b-32aa-46f1-935a-5c6356327bd6,95dfed2b-5d1d-49dd-b407-fbc1dd877a63,95dfed2a-b796-492b-a410-d587bd4d1cb6,2022-03-21 19:11:32,false,Sócia
95e1c120-2eb6-4f69-9442-5b67f1c04aff,15,Trabalhamos com efetividade com as demais áreas da nossa organização.,2,2022-03-22 14:08:10,engagement,my organization,,impact,95dfed2b-5265-4396-9054-dc869c9ed79a,,,Feminino,Winx,true,Winx,95dfed2b-32aa-46f1-935a-5c6356327bd6,95dfed2b-5d1d-49dd-b407-fbc1dd877a63,95dfed2a-b988-42cd-9567-1fcd1212d7bf,2022-03-21 19:11:32,false,Sócia
